ENTE,REGIONE,COALIZIONE,LISTA,VOTI_LISTA
PIEMONTE 1,PIEMONTE,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,358768
PIEMONTE 1,PIEMONTE,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',49562
PIEMONTE 1,PIEMONTE,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,3787
PIEMONTE 1,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',237410
PIEMONTE 1,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,43966
PIEMONTE 1,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,26839
PIEMONTE 1,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,PARTITO PENSIONATI,12340
PIEMONTE 1,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,4916
PIEMONTE 1,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,1234
PIEMONTE 1,PIEMONTE,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,393079
PIEMONTE 1,PIEMONTE,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,139753
PIEMONTE 1,PIEMONTE,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,13976
PIEMONTE 1,PIEMONTE,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',5227
PIEMONTE 1,PIEMONTE,NO COALIZIONE,RIVOLUZIONE CIVILE,34038
PIEMONTE 1,PIEMONTE,NO COALIZIONE,FARE PER FERMARE IL DECLINO,15539
PIEMONTE 1,PIEMONTE,NO COALIZIONE,FORZA NUOVA,3397
PIEMONTE 1,PIEMONTE,NO COALIZIONE,CASAPOUND ITALIA,2559
PIEMONTE 1,PIEMONTE,NO COALIZIONE,FIAMMA TRICOLORE,2306
PIEMONTE 2,PIEMONTE,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,285095
PIEMONTE 2,PIEMONTE,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',26624
PIEMONTE 2,PIEMONTE,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,2790
PIEMONTE 2,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',269174
PIEMONTE 2,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,78400
PIEMONTE 2,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,39091
PIEMONTE 2,PIEMONTE,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,5485
