REGIONE,Candidato,PREFERENZE
ABRUZZO,MICHELE ABBATICCHIO,178
ABRUZZO,KATIA ACQUAVIVA,4
ABRUZZO,FRANCESCO ADAMO,5
ABRUZZO,RAFFAELLO ADESSO,64
ABRUZZO,ISABELLA ADINOLFI,335
ABRUZZO,DANIELA AIUTO,965
ABRUZZO,CROCIFISSO ALOISI,30
ABRUZZO,CIRO AMALFI,142
ABRUZZO,APOLLONIA AMATI,11
ABRUZZO,MONICA AMICI,11
ABRUZZO,ORLANDO AMODEO,155
ABRUZZO,ILARIA ANTELMI,947
ABRUZZO,DOMENICO AQUINO,18
ABRUZZO,SILVANA ARBIA,22
ABRUZZO,VIOLETTA ARCURI,1443
ABRUZZO,MICHELA ARRICALE,60
ABRUZZO,FRANCO AUFIERO,2
ABRUZZO,ALESSIA AUGELLO,2
ABRUZZO,LUCA AVAGNINA,37
ABRUZZO,VITO AVALLONE,81
ABRUZZO,ROSARIO ACHILLE AVERSA,158
ABRUZZO,ELIANA BALDO,470
ABRUZZO,GERARTA BALLO,792
ABRUZZO,CARLO BARBANO,3
ABRUZZO,GIUSEPPE BARBARO,67
ABRUZZO,CRISTINA DIANA BARGU,52
ABRUZZO,GIOVANNINA BASTONE,30
ABRUZZO,CARMELA BELLAME,31
ABRUZZO,LAURA BERGAMINI,159
ABRUZZO,SILVIO BERLUSCONI,18041
ABRUZZO,ALDO BERNARDINI,55
ABRUZZO,PIETRO BEVILACQUA,205
ABRUZZO,LAURA BIANCINI,16
ABRUZZO,SARA BONANNO,12
ABRUZZO,GIOVANBATTISTA BONDESAN,34
ABRUZZO,VINCENZO BOTTA,23
ABRUZZO,NICOLA BRIENZA,135
ABRUZZO,ANNUNZIATA BRUNO,41
ABRUZZO,FORTUNATO MARIA CACCIATORE,75
ABRUZZO,STEFANIA CALCAGNO,14
ABRUZZO,DANIELA CALDERANO,436
ABRUZZO,FULVIA MICHELA CALIGIURI,28
ABRUZZO,ISABELLA CAMPANA,48
ABRUZZO,TERESA CANTONE,0
ABRUZZO,LUCA CAPPELLETTI,5
ABRUZZO,NICOLA CAPUANO,733
ABRUZZO,NICOLA CAPUTO,1805
ABRUZZO,DOMENICO CARLUCCI,3
ABRUZZO,ANDREA CAROPPO,940
ABRUZZO,COSIMO DAMIANO CARTELLINO,20
ABRUZZO,MASSIMO CASANOVA,10626
ABRUZZO,LUIGI CATALANO,12
ABRUZZO,SALVATORE CATELLO,22
ABRUZZO,LAURA CAVALIERO,384
ABRUZZO,PAOLA CAVALLETTO,19
ABRUZZO,CRISTIANO CERIELLO,92
ABRUZZO,GIANCARLO CERRELLI,585
ABRUZZO,CATERINA CERRONI,2991
ABRUZZO,LORENZO CESA,2807
ABRUZZO,EMMA CHIAIA,44
ABRUZZO,MARIAGRAZIA CHIUSOLO,128
ABRUZZO,DIEGO AMEDEO CIANCETTA,507
ABRUZZO,LEONARDO CICCOPIEDI,45
ABRUZZO,ANNA CIRIANI,14
ABRUZZO,ADRIANA COLACICCO,32
ABRUZZO,ELVIO COVINO,48
ABRUZZO,ANDREA COZZOLINO,5890
ABRUZZO,ROSARIA CUOMO,19
ABRUZZO,ANTONELLO D'ALOISIO,9814
ABRUZZO,ROSA D'AMATO,975
ABRUZZO,FILOMENA D'ANTINI,46
ABRUZZO,ELEONORA D'ANTONI,13
ABRUZZO,MARGHERITA D'URBANO,2208
ABRUZZO,GIUSTINO D'UVA,55
ABRUZZO,REBECCA DAMIANI,2
ABRUZZO,MARCO DE ANDREIS,57
ABRUZZO,ELISABETTA DE BLASIS,20041
ABRUZZO,BEATRICE DE DONATO,100
ABRUZZO,CIRA DE FALCO,2
ABRUZZO,ALBERTO CLAUDIO DE GIGLIO,286
ABRUZZO,MARIA CRISTINA DE PASCALIS,8
ABRUZZO,SERENA DEL NEGRO,30
ABRUZZO,FLAVIO DEL SOLDATO,10
ABRUZZO,LIVIA DELL'ANNA,29
ABRUZZO,DANILO DELLA VALLE,258
ABRUZZO,KATIA DI LELLA,30
ABRUZZO,LUIGI DI LIBERTO,82
ABRUZZO,LOREDANA DI LORENZO,998
ABRUZZO,ANTIMINA DI MATTEO,298
ABRUZZO,VALERIA DI NINO,14404
ABRUZZO,NICOLA DI PALMA,25
ABRUZZO,PAOLA DI SALVATORE,5343
ABRUZZO,MARCO DI SALVO,76
ABRUZZO,PIERFRANCESCO DI SALVO,12
ABRUZZO,SIMONE DI STEFANO,972
ABRUZZO,ROBERTA DIANA,0
ABRUZZO,FRANCA ROSARIA ESPOSITO,9
ABRUZZO,LUIGI ESPOSITO,90
ABRUZZO,GIOVANNI FABBRIS,283
ABRUZZO,MIRCO FANIZZI,8
ABRUZZO,ANNUNZIATA FARASO,5
ABRUZZO,ENRICO FARINA,301
ABRUZZO,GIULIANA FARINARO,9
ABRUZZO,ASCENZA LOREDANA FASANO,14
ABRUZZO,ROSSELLA  FASULO,14
ABRUZZO,ANGELO FRANCESCO FAZZARI,3
ABRUZZO,ALESSIO FENIELLO,213
ABRUZZO,GIUSEPPE FERRANDINO,3246
ABRUZZO,LAURA FERRARA,1701
ABRUZZO,SARA FERRI,224
ABRUZZO,ROBERTO FIORE,145
ABRUZZO,LUCIA FIRMANI,11
ABRUZZO,RAFFAELE FITTO,3025
ABRUZZO,EMMANUELA FLORINO,33
ABRUZZO,ELEONORA FORENZA,1963
ABRUZZO,ALESSANDRO FUCITO,385
ABRUZZO,MARIO FURORE,551
ABRUZZO,ARNALDO GADOLA,9
ABRUZZO,FRANCESCO GALTIERI,242
ABRUZZO,ALFONSO GAMBARDELLA,3
ABRUZZO,CHIARA MARIA GEMMA,3204
ABRUZZO,MARCELLO GEMMATO,262
ABRUZZO,ELENA GENTILE,1444
ABRUZZO,ISABELLA GENTILE,61
ABRUZZO,STEFANIA GENTILE,1551
ABRUZZO,DANIELA GIANNINI,35
ABRUZZO,VINCENZO GIORDANO,16
ABRUZZO,VALENTINO GRANT,339
ABRUZZO,LUIGI GUBELLO,14
ABRUZZO,FRANCESCO ANTONIO IACUCCI,63
ABRUZZO,GIOVANNI IANNEI,1
ABRUZZO,ANTONIO ILARDI,51
ABRUZZO,VINCENZO IORIO,3
ABRUZZO,LEILA KECHOUD,7086
ABRUZZO,GIUSEPPE LACICERCHIA,35
ABRUZZO,MARIA ROSARIA LAGROTTA,6
ABRUZZO,ANTONINO LAVEGLIA,1
ABRUZZO,FELICE LECCISO,7
ABRUZZO,ANTONELLA LELLA,481
ABRUZZO,VITTORIA LEONE,10
ABRUZZO,MARIA LETIZIA,33
ABRUZZO,ALESSANDRA LEUZZI,5
ABRUZZO,COSIMO LIMARDO,0
ABRUZZO,ANTONIO LUONGO,12
ABRUZZO,FEDERICA LUPI,495
ABRUZZO,GIORGIO MAGLIOCCA,255
ABRUZZO,LUCIA MANCIERO,12
ABRUZZO,SILVJA MANZI,194
ABRUZZO,LUCA MARIOTTO,1
ABRUZZO,ANNA MARRO,484
ABRUZZO,FULVIO MARTUSCIELLO,2068
ABRUZZO,BARBARA MATERA,727
ABRUZZO,MARIO WALTER MAURO,311
ABRUZZO,GERARDOVITOMARIA MAZZA,0
ABRUZZO,STELLA MELE,3056
ABRUZZO,GIORGIA MELONI,14171
ABRUZZO,LUCIANO MONTICELLI,2584
ABRUZZO,ALBERTO MONTORO,12
ABRUZZO,GIUSEPPE MORELLI,28
ABRUZZO,PALMO ANTONINO MOSAICO,3
ABRUZZO,ALBERTO MUSACCHIO,19
ABRUZZO,ALESSANDRA MUSSOLINI,1755
ABRUZZO,CAIO GIULIO CESARE MUSSOLINI,3613
ABRUZZO,ALESSANDRO MUSTILLO,69
ABRUZZO,LUIGI NAPOLITANO,332
ABRUZZO,PAOLA NATALICCHIO,395
ABRUZZO,GENNARO NENNA,7
ABRUZZO,DENIS DOMENICO NESCI,1833
ABRUZZO,LUCIA ANITA NUCERA ,57
ABRUZZO,CATERINA ORONZO,124
ABRUZZO,SALVATORE PACELLA,3
ABRUZZO,CLAUDIA PAGLIARICCIO,555
ABRUZZO,IVANA PALIERI,16
ABRUZZO,MARCO PALLADINO,23
ABRUZZO,LUIGI PANDOLFI,39
ABRUZZO,ROBERTO PANO,11
ABRUZZO,MASSIMO PAOLUCCI,4509
ABRUZZO,RAIMONDO PASQUINO,397
ABRUZZO,ALDO PATRICIELLO,5662
ABRUZZO,ANTONIETTA PECCHIA,93
ABRUZZO,GIUSEPPE PEDA',25
ABRUZZO,PIERNICOLA PEDICINI,1808
ABRUZZO,MARIANO PELUSO,207
ABRUZZO,MAURIZIO PENDENZA,485
ABRUZZO,PATRIZIA PERRONE,15
ABRUZZO,FRANCESCA PESCE,53
ABRUZZO,ANNA PETRONE,217
ABRUZZO,LUIGI ANTONIO PETRONI,166
ABRUZZO,EDUARDO MARIA PICCIRILLI,183
ABRUZZO,LUCIA PICICCI,12
ABRUZZO,GIUSEPPINA PICIERNO,6407
ABRUZZO,MICHELE PINASSI,10
