Circoscrizione,Partito,Voti
PIEMONTE 1,FORZA ITALIA,458512
PIEMONTE 1,DEMOCRATICI SINISTRA,264334
PIEMONTE 1,LA MARGHERITA,252876
PIEMONTE 1,ALLEANZA NAZIONALE,133987
PIEMONTE 1,RIFONDAZIONE COMUNISTA,112348
PIEMONTE 1,LEGA NORD,63434
PIEMONTE 1,LISTA DI PIETRO,62164
PIEMONTE 1,PANNELLA-BONINO,42655
PIEMONTE 1,CCD-CDU,26481
PIEMONTE 1,COMUNISTI ITALIANI,23204
PIEMONTE 1,IL GIRASOLE,18557
PIEMONTE 1,VERDI-VERDI,18262
PIEMONTE 1,DEMOCRAZIA EUROPEA,13668
PIEMONTE 1,NUOVO PSI,8251
PIEMONTE 1,ABOLIZIONE SCORPORO,867
PIEMONTE 2,FORZA ITALIA,459819
PIEMONTE 2,DEMOCRATICI SINISTRA,191857
PIEMONTE 2,LA MARGHERITA,182042
PIEMONTE 2,ALLEANZA NAZIONALE,131058
PIEMONTE 2,LEGA NORD,106679
PIEMONTE 2,RIFONDAZIONE COMUNISTA,58131
PIEMONTE 2,LISTA DI PIETRO,55136
PIEMONTE 2,PANNELLA-BONINO,47659
PIEMONTE 2,CCD-CDU,36403
PIEMONTE 2,COMUNISTI ITALIANI,29713
PIEMONTE 2,IL GIRASOLE,25645
PIEMONTE 2,DEMOCRAZIA EUROPEA,23214
PIEMONTE 2,NUOVO PSI,14081
PIEMONTE 2,FIAMMA TRICOLORE,11379
PIEMONTE 2,ABOLIZIONE SCORPORO,1326
LOMBARDIA 1,FORZA ITALIA,870838
LOMBARDIA 1,LA MARGHERITA,416488
LOMBARDIA 1,DEMOCRATICI SINISTRA,342744
LOMBARDIA 1,ALLEANZA NAZIONALE,253253
LOMBARDIA 1,LEGA NORD,192652
LOMBARDIA 1,RIFONDAZIONE COMUNISTA,142248
LOMBARDIA 1,LISTA DI PIETRO,97451
LOMBARDIA 1,PANNELLA-BONINO,81155
LOMBARDIA 1,IL GIRASOLE,50668
LOMBARDIA 1,CCD-CDU,47879
LOMBARDIA 1,COMUNISTI ITALIANI,41619
LOMBARDIA 1,PARTITO PENSIONATI,26239
LOMBARDIA 1,DEMOCRAZIA EUROPEA,18506
LOMBARDIA 1,ABOLIZIONE SCORPORO,1590
LOMBARDIA 2,FORZA ITALIA,821070
LOMBARDIA 2,LEGA NORD,478547
LOMBARDIA 2,LA MARGHERITA,420967
LOMBARDIA 2,DEMOCRATICI SINISTRA,204078
LOMBARDIA 2,ALLEANZA NAZIONALE,202182
LOMBARDIA 2,RIFONDAZIONE COMUNISTA,108859
LOMBARDIA 2,LISTA DI PIETRO,106136
LOMBARDIA 2,PANNELLA-BONINO,68060
LOMBARDIA 2,CCD-CDU,61163
LOMBARDIA 2,IL GIRASOLE,44146
LOMBARDIA 2,DEMOCRAZIA EUROPEA,43739
LOMBARDIA 2,PARTITO PENSIONATI,42110
LOMBARDIA 2,COMUNISTI ITALIANI,36018
LOMBARDIA 2,FIAMMA TRICOLORE,15327
LOMBARDIA 2,NUOVO PSI,15175
LOMBARDIA 2,LIBDEM.BASTA,6332
LOMBARDIA 2,ABOLIZIONE SCORPORO,1159
LOMBARDIA 3,FORZA ITALIA,319689
LOMBARDIA 3,DEMOCRATICI SINISTRA,179706
LOMBARDIA 3,LA MARGHERITA,100033
LOMBARDIA 3,LEGA NORD,82937
LOMBARDIA 3,ALLEANZA NAZIONALE,82821
LOMBARDIA 3,RIFONDAZIONE COMUNISTA,58706
LOMBARDIA 3,LISTA DI PIETRO,39010
LOMBARDIA 3,PANNELLA-BONINO,25630
LOMBARDIA 3,CCD-CDU,23863
LOMBARDIA 3,IL GIRASOLE,19310
LOMBARDIA 3,COMUNISTI ITALIANI,16052
LOMBARDIA 3,DEMOCRAZIA EUROPEA,15937
LOMBARDIA 3,PAESE NUOVO,1760
LOMBARDIA 3,ABOLIZIONE SCORPORO,767
TRENTINO ALTO ADIGE,SVP,200059
TRENTINO ALTO ADIGE,FORZA ITALIA,100801
TRENTINO ALTO ADIGE,LA MARGHERITA,70853
TRENTINO ALTO ADIGE,ALLEANZA NAZIONALE,57865
TRENTINO ALTO ADIGE,DEMOCRATICI SINISTRA,54155
TRENTINO ALTO ADIGE,LISTA DI PIETRO,24663
TRENTINO ALTO ADIGE,IL GIRASOLE,23663
TRENTINO ALTO ADIGE,LEGA NORD,22273
TRENTINO ALTO ADIGE,RIFONDAZIONE COMUNISTA,16510
TRENTINO ALTO ADIGE,CCD-CDU,12673
TRENTINO ALTO ADIGE,PANNELLA-BONINO,11808
TRENTINO ALTO ADIGE,DEMOCRAZIA EUROPEA,9643
TRENTINO ALTO ADIGE,COMUNISTI ITALIANI,3046
TRENTINO ALTO ADIGE,ABOLIZIONE SCORPORO,501
VENETO 1,FORZA ITALIA,618806
VENETO 1,LA MARGHERITA,267076
VENETO 1,DEMOCRATICI SINISTRA,189045
VENETO 1,LEGA NORD,178601
VENETO 1,ALLEANZA NAZIONALE,166295
VENETO 1,LISTA DI PIETRO,83767
VENETO 1,RIFONDAZIONE COMUNISTA,63622
VENETO 1,CCD-CDU,61191
VENETO 1,PANNELLA-BONINO,48363
VENETO 1,LIGA FRONTE VENETO,44173
VENETO 1,DEMOCRAZIA EUROPEA,41001
VENETO 1,IL GIRASOLE,39524
VENETO 1,COMUNISTI ITALIANI,20599
VENETO 1,NUOVO PSI,15021
VENETO 1,FORZA NUOVA,10048
VENETO 1,ABOLIZIONE SCORPORO,1631
VENETO 2,FORZA ITALIA,364992
VENETO 2,LA MARGHERITA,192355
VENETO 2,DEMOCRATICI SINISTRA,140045
VENETO 2,LEGA NORD,136399
VENETO 2,ALLEANZA NAZIONALE,94172
VENETO 2,LISTA DI PIETRO,59081
VENETO 2,RIFONDAZIONE COMUNISTA,55725
VENETO 2,CCD-CDU,35762
VENETO 2,PANNELLA-BONINO,33745
VENETO 2,LIGA FRONTE VENETO,30180
VENETO 2,IL GIRASOLE,27678
VENETO 2,DEMOCRAZIA EUROPEA,15593
VENETO 2,COMUNISTI ITALIANI,14037
VENETO 2,FIAMMA TRICOLORE,11534
VENETO 2,NUOVO PSI,10825
VENETO 2,PAESE NUOVO,1812
VENETO 2,ABOLIZIONE SCORPORO,1001
FRIULI VENEZIA GIULIA,FORZA ITALIA,226188
FRIULI VENEZIA GIULIA,LA MARGHERITA,175167
FRIULI VENEZIA GIULIA,ALLEANZA NAZIONALE,101271
FRIULI VENEZIA GIULIA,DEMOCRATICI SINISTRA,72143
FRIULI VENEZIA GIULIA,LEGA NORD,66252
FRIULI VENEZIA GIULIA,RIFONDAZIONE COMUNISTA,36502
FRIULI VENEZIA GIULIA,LISTA DI PIETRO,33370
FRIULI VENEZIA GIULIA,PANNELLA-BONINO,24829
FRIULI VENEZIA GIULIA,CCD-CDU,19117
FRIULI VENEZIA GIULIA,DEMOCRAZIA EUROPEA,17254
FRIULI VENEZIA GIULIA,IL GIRASOLE,14330
FRIULI VENEZIA GIULIA,COMUNISTI ITALIANI,13926
FRIULI VENEZIA GIULIA,TERZO POLO AUTONOMIA,2915
FRIULI VENEZIA GIULIA,ABOLIZIONE SCORPORO,896
LIGURIA,FORZA ITALIA,323912
LIGURIA,DEMOCRATICI SINISTRA,264270
LIGURIA,LA MARGHERITA,132309
LIGURIA,ALLEANZA NAZIONALE,103224
LIGURIA,RIFONDAZIONE COMUNISTA,65499
LIGURIA,LEGA NORD,43276
LIGURIA,LISTA DI PIETRO,39922
LIGURIA,PANNELLA-BONINO,30804
LIGURIA,COMUNISTI ITALIANI,26293
LIGURIA,CCD-CDU,23477
LIGURIA,IL GIRASOLE,22101
LIGURIA,DEMOCRAZIA EUROPEA,20130
LIGURIA,NUOVO PSI,8969
LIGURIA,PAESE NUOVO,1364
LIGURIA,ABOLIZIONE SCORPORO,773
EMILIA-ROMAGNA,DEMOCRATICI SINISTRA,843201
EMILIA-ROMAGNA,FORZA ITALIA,695797
EMILIA-ROMAGNA,LA MARGHERITA,452138
EMILIA-ROMAGNA,ALLEANZA NAZIONALE,282697
EMILIA-ROMAGNA,RIFONDAZIONE COMUNISTA,161975
EMILIA-ROMAGNA,LISTA DI PIETRO,103133
EMILIA-ROMAGNA,LEGA NORD,76012
EMILIA-ROMAGNA,CCD-CDU,67069
EMILIA-ROMAGNA,PANNELLA-BONINO,66188
EMILIA-ROMAGNA,IL GIRASOLE,60845
EMILIA-ROMAGNA,COMUNISTI ITALIANI,46567
EMILIA-ROMAGNA,NUOVO PSI,32560
EMILIA-ROMAGNA,DEMOCRAZIA EUROPEA,30812
EMILIA-ROMAGNA,PAESE NUOVO,2811
EMILIA-ROMAGNA,ABOLIZIONE SCORPORO,1505
TOSCANA,DEMOCRATICI SINISTRA,770063
TOSCANA,FORZA ITALIA,540252
TOSCANA,LA MARGHERITA,334875
TOSCANA,ALLEANZA NAZIONALE,324859
TOSCANA,RIFONDAZIONE COMUNISTA,172483
TOSCANA,LISTA DI PIETRO,62022
TOSCANA,COMUNISTI ITALIANI,57222
TOSCANA,CCD-CDU,56445
TOSCANA,PANNELLA-BONINO,50874
TOSCANA,IL GIRASOLE,49777
TOSCANA,DEMOCRAZIA EUROPEA,25991
TOSCANA,NUOVO PSI,24440
TOSCANA,LEGA NORD,14232
TOSCANA,COMUNISMO,5244
TOSCANA,ABOLIZIONE SCORPORO,1574
UMBRIA,DEMOCRATICI SINISTRA,149081
UMBRIA,FORZA ITALIA,123573
UMBRIA,ALLEANZA NAZIONALE,98012
UMBRIA,LA MARGHERITA,75623
UMBRIA,RIFONDAZIONE COMUNISTA,44161
UMBRIA,LISTA DI PIETRO,15372
UMBRIA,CCD-CDU,14135
UMBRIA,COMUNISTI ITALIANI,13240
UMBRIA,PANNELLA-BONINO,11535
UMBRIA,IL GIRASOLE,11002
UMBRIA,DEMOCRAZIA EUROPEA,9499
UMBRIA,NUOVO PSI,8992
UMBRIA,PAESE NUOVO,857
UMBRIA,ABOLIZIONE SCORPORO,314
MARCHE,FORZA ITALIA,245952
MARCHE,DEMOCRATICI SINISTRA,222176
