Ente,Lista,Voti
EUROPA,PARTITO DEMOCRATICO,155038
EUROPA,CON MONTI PER L'ITALIA,143418
EUROPA,IL POPOLO DELLA LIBERTA',95292
EUROPA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,69338
EUROPA,SINISTRA ECOLOGIA LIBERTA',17434
EUROPA,RIVOLUZIONE CIVILE,16033
EUROPA,MOV.ASSOCIATIVO ITALIANI ALL'ESTERO,10671
EUROPA,FARE PER FERMARE IL DECLINO,8477
EUROPA,PARTITO COMUNISTA,6977
AMERICA MERIDIONALE,MOV.ASSOCIATIVO ITALIANI ALL'ESTERO,130197
AMERICA MERIDIONALE,PARTITO DEMOCRATICO,90676
AMERICA MERIDIONALE,USEI,43918
AMERICA MERIDIONALE,ITALIANI PER LA LIBERTA',22348
AMERICA MERIDIONALE,IL POPOLO DELLA LIBERTA',21781
AMERICA MERIDIONALE,UNIONE ITALIANI SUDAMERICA,11330
AMERICA MERIDIONALE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,10528
AMERICA SETTENTRIONALE E CENTRALE,PARTITO DEMOCRATICO,26435
AMERICA SETTENTRIONALE E CENTRALE,CON MONTI PER L'ITALIA,22775
AMERICA SETTENTRIONALE E CENTRALE,IL POPOLO DELLA LIBERTA',18656
AMERICA SETTENTRIONALE E CENTRALE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,8381
AMERICA SETTENTRIONALE E CENTRALE,INSIEME PER GLI ITALIANI,3838
AMERICA SETTENTRIONALE E CENTRALE,FARE PER FERMARE IL DECLINO,1718
AFRICA ASIA OCEANIA ANTARTIDE,PARTITO DEMOCRATICO,15826
AFRICA ASIA OCEANIA ANTARTIDE,CON MONTI PER L'ITALIA,14848
AFRICA ASIA OCEANIA ANTARTIDE,IL POPOLO DELLA LIBERTA',10022
AFRICA ASIA OCEANIA ANTARTIDE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,6926
